code,descriptor
47562,"Laparoscopy, surgical; cholecystectomy"
47563,"Laparoscopy, surgical; cholecystectomy with cholangiography"
47564,"Laparoscopy, surgical; cholecystectomy with exploration of common duct"
47570,"Laparoscopy, surgical; cholecystoenterostomy"
47579,"Unlisted laparoscopy procedure, biliary tract"
47600,Cholecystectomy
47605,Cholecystectomy; with cholangiography
47610,Cholecystectomy with exploration of common duct
47480,"Cholecystotomy or cholecystostomy, open, with drainage"
47531,"Injection procedure for cholangiography, existing access"
49320,"Laparoscopy, abdomen, peritoneum, and omentum, diagnostic, with or without collection of specimen by brushing or washing"
49560,"Repair initial incisional or ventral hernia, reducible"
44970,"Laparoscopy, surgical, appendectomy"
76998,"Ultrasonic guidance, intraoperative"
