unit_id,cycle,timestamp,op_regime,op_setpoint_flow,ambient_temp_c,vibration_rms_mms,bearing_temp_c,casing_temp_c,motor_current_a,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3h,motor_winding_temp_c,power_kw,oil_particle_count,coolant_flow_lpm,ambient_humidity_pct,pump_speed_rpm,gearbox_temp_c
PUMP_001,1,2024-12-01 00:00:00,0,87.2,24.21,1.991,52.62,50.5,38.1,9.346,1.289,83.9,62.1,23.75,,12.006,70.3,2956.9,37.81
PUMP_001,2,2024-12-01 01:00:00,0,84.72,24.13,1.912,50.0,48.01,38.3,9.239,1.249,82.15,60.58,23.74,,11.98,57.0,2949.0,37.41
PUMP_001,3,2024-12-01 02:00:00,0,84.23,24.15,1.379,52.51,47.74,38.7,9.025,1.271,81.69,66.32,24.05,,11.977,55.4,2958.2,36.9
PUMP_001,4,2024-12-01 03:00:00,0,84.37,23.98,1.935,52.13,49.01,37.27,9.227,1.242,77.71,62.51,23.33,,11.998,72.2,2958.7,36.88
PUMP_001,5,2024-12-01 04:00:00,0,85.96,24.22,1.542,51.81,50.58,38.79,9.054,1.236,80.24,63.96,24.8,,12.023,51.6,2955.1,36.7
PUMP_001,6,2024-12-01 05:00:00,0,85.66,23.93,1.859,54.07,52.08,36.76,9.39,1.194,81.29,62.95,23.1,,11.997,52.0,2956.4,36.42
PUMP_001,7,2024-12-01 06:00:00,0,85.74,24.12,1.444,51.19,45.43,38.3,9.305,1.171,84.65,64.48,24.15,,12.02,48.1,2956.4,37.04
PUMP_001,8,2024-12-01 07:00:00,0,85.78,24.08,1.912,54.68,48.15,38.16,9.212,1.24,83.0,62.29,24.25,,12.005,57.3,2953.4,37.01
PUMP_001,9,2024-12-01 08:00:00,0,88.85,24.37,1.599,51.71,49.84,37.45,8.883,1.252,85.31,63.68,22.87,,12.007,58.4,2956.4,37.52
PUMP_001,10,2024-12-01 09:00:00,0,84.27,24.56,1.48,50.34,45.13,37.98,9.072,1.199,78.59,64.81,23.97,48.1,11.98,63.4,2953.0,37.3
PUMP_001,11,2024-12-01 10:00:00,0,84.08,25.01,1.98,52.09,45.88,37.44,9.289,1.249,77.62,62.19,23.22,,12.014,53.5,2953.5,37.4
PUMP_001,12,2024-12-01 11:00:00,0,83.54,25.19,1.862,50.6,46.16,37.04,9.358,1.252,79.79,62.74,22.09,,11.995,44.4,2957.8,37.38
PUMP_001,13,2024-12-01 12:00:00,0,86.11,24.8,1.648,51.03,47.8,37.68,9.344,1.164,79.18,63.38,22.64,,12.013,72.3,2957.4,36.7
PUMP_001,14,2024-12-01 13:00:00,0,87.03,24.78,2.165,52.52,47.99,37.01,8.993,1.213,81.43,61.43,22.67,,11.988,49.9,2953.2,37.27
PUMP_001,15,2024-12-01 14:00:00,0,84.79,24.49,1.693,52.73,47.3,38.29,9.239,1.266,79.52,63.24,24.07,,12.003,74.7,2953.2,37.22
PUMP_001,16,2024-12-01 15:00:00,0,83.49,24.36,1.811,51.2,46.27,36.97,9.332,1.265,81.03,64.22,23.09,,12.005,43.9,2953.4,37.52
PUMP_001,17,2024-12-01 16:00:00,0,83.52,24.74,1.871,53.29,47.57,38.64,8.984,1.204,77.94,63.29,24.15,,11.998,59.1,2956.8,37.21
PUMP_001,18,2024-12-01 17:00:00,0,86.17,24.9,1.65,53.52,47.47,36.94,9.199,1.256,77.1,63.52,23.81,,12.006,58.1,2952.5,37.15
PUMP_001,19,2024-12-01 18:00:00,0,86.34,24.72,1.923,53.88,52.45,37.49,9.235,1.291,81.96,63.97,22.86,,11.996,70.6,2955.9,36.8
PUMP_001,20,2024-12-01 19:00:00,0,85.98,24.47,1.673,52.7,48.7,37.44,9.161,1.281,79.7,62.83,23.33,56.6,11.99,41.0,2956.9,37.3
PUMP_001,21,2024-12-01 20:00:00,0,83.8,24.48,1.704,53.79,50.29,39.2,8.959,1.246,78.84,65.25,24.53,,12.024,74.1,2954.8,37.42
PUMP_001,22,2024-12-01 21:00:00,0,85.42,24.18,2.149,49.58,45.49,38.3,9.157,1.231,80.15,66.6,23.57,,12.016,57.9,2957.5,37.57
PUMP_001,23,2024-12-01 22:00:00,2,148.21,24.01,2.249,60.61,53.12,50.81,8.257,1.165,138.88,78.18,31.51,,11.989,60.2,2954.2,38.11
PUMP_001,24,2024-12-01 23:00:00,2,148.39,24.09,1.907,59.9,51.86,51.45,8.28,1.209,140.75,79.89,31.25,,12.009,56.9,2954.5,38.57
PUMP_001,25,2024-12-02 00:00:00,2,149.57,24.37,2.915,61.19,49.79,49.11,8.226,1.198,138.14,78.59,31.02,,11.989,36.5,2952.6,38.88
PUMP_001,26,2024-12-02 01:00:00,2,148.4,24.53,3.151,60.29,51.12,50.97,8.242,1.215,138.67,79.68,31.32,,11.982,56.4,2957.5,38.31
PUMP_001,27,2024-12-02 02:00:00,2,149.22,23.95,2.414,60.82,50.82,52.8,8.294,1.195,141.36,81.84,33.52,,12.016,46.3,2953.1,38.03
PUMP_001,28,2024-12-02 03:00:00,2,148.12,24.03,2.032,63.49,51.89,51.13,8.357,1.223,138.25,79.94,31.67,,11.974,49.7,2955.9,37.63
PUMP_001,29,2024-12-02 04:00:00,2,148.52,24.05,2.441,60.83,51.74,51.07,8.26,1.194,137.03,75.83,32.06,,12.014,62.9,2954.8,37.92
PUMP_001,30,2024-12-02 05:00:00,2,149.14,24.15,2.449,61.59,56.02,51.5,8.246,1.221,141.25,79.84,31.89,64.3,11.996,56.4,2952.4,37.99
PUMP_001,31,2024-12-02 06:00:00,2,145.38,24.56,2.475,60.75,53.42,51.81,8.311,1.225,138.45,81.25,32.09,,11.997,39.0,2953.5,37.43
