unit_id,commissioned_date,n_cycles,event
PUMP_001,2024-12-01,292,1
PUMP_002,2024-07-02,197,1
PUMP_003,2024-08-25,238,1
PUMP_004,2024-05-30,319,1
PUMP_005,2024-03-22,165,1
PUMP_006,2024-06-30,315,1
PUMP_007,2024-11-25,100,0
PUMP_008,2024-10-24,180,1
PUMP_009,2024-01-03,231,1
PUMP_010,2024-04-23,237,1
PUMP_011,2024-09-27,156,1
PUMP_012,2024-11-16,261,1
PUMP_013,2024-08-18,253,1
PUMP_014,2025-01-29,128,1
PUMP_015,2024-03-06,222,1
PUMP_016,2025-01-20,239,1
PUMP_017,2024-05-04,168,1
PUMP_018,2024-07-31,203,1
PUMP_019,2024-07-19,217,1
PUMP_020,2024-10-25,224,1
PUMP_021,2024-02-02,244,1
PUMP_022,2024-12-19,284,1
PUMP_023,2024-05-10,161,1
PUMP_024,2025-01-03,127,1
PUMP_025,2024-07-15,285,1
PUMP_026,2024-02-24,277,1
PUMP_027,2024-07-10,214,1
PUMP_028,2024-04-06,226,1
PUMP_029,2024-10-28,279,1
PUMP_030,2024-03-15,136,1
PUMP_031,2024-08-08,198,1
PUMP_032,2025-01-17,151,1
PUMP_033,2024-10-20,195,1
PUMP_034,2024-03-05,139,0
PUMP_035,2024-09-07,230,1
PUMP_036,2024-12-29,283,1
PUMP_037,2025-01-22,163,1
PUMP_038,2024-08-01,284,1
PUMP_039,2024-12-24,264,1
PUMP_040,2024-06-04,254,1
PUMP_041,2024-07-16,142,1
PUMP_042,2024-09-22,206,1
PUMP_043,2024-08-19,140,1
PUMP_044,2024-12-11,256,1
PUMP_045,2024-03-03,126,1
PUMP_046,2024-03-25,186,1
PUMP_047,2024-08-23,173,1
PUMP_048,2024-11-23,151,1
PUMP_049,2024-05-14,157,1
PUMP_050,2024-04-08,151,0
PUMP_051,2024-09-02,235,1
PUMP_052,2024-03-05,224,1
PUMP_053,2024-08-22,243,1
PUMP_054,2024-03-05,283,1
PUMP_055,2024-11-22,121,1
PUMP_056,2024-12-01,144,0
PUMP_057,2024-10-26,197,1
PUMP_058,2024-10-15,124,0
PUMP_059,2024-02-02,187,1
PUMP_060,2024-06-26,217,1
PUMP_061,2024-02-20,220,1
PUMP_062,2024-04-27,326,1
PUMP_063,2024-01-02,264,1
PUMP_064,2024-05-09,138,1
PUMP_065,2024-10-06,135,1
PUMP_066,2024-07-13,339,1
PUMP_067,2025-01-19,101,0
PUMP_068,2025-01-12,200,1
PUMP_069,2024-10-31,185,1
PUMP_070,2024-04-20,183,1
PUMP_071,2024-05-10,327,1
PUMP_072,2024-02-17,161,1
PUMP_073,2024-03-19,263,1
PUMP_074,2024-07-22,217,1
PUMP_075,2024-06-14,214,1
PUMP_076,2024-12-01,173,1
PUMP_077,2024-02-07,202,0
PUMP_078,2024-09-16,267,1
PUMP_079,2024-11-06,101,0
PUMP_080,2024-08-13,185,1
